000	0
010	7
020	0
031	0
041	0
051	6
062	2
072	4
082	0
100	8
110	3
120	0
131	0
141	4
151	0
162	0
172	0
182	0
200	0
210	1
220	0
231	0
241	2
251	0
262	5
272	0
282	0
303	1
313	0
323	0
334	0
344	8
354	0
365	0
375	0
385	0
403	0
413	8
423	3
434	2
444	0
454	9
465	1
475	5
485	0
503	0
513	0
523	0
534	3
544	0
554	0
565	0
575	0
585	7
606	5
616	0
626	4
637	0
647	9
657	0
668	0
678	3
688	0
706	7
716	0
726	0
737	0
747	5
757	0
768	0
778	6
788	1
806	0
816	0
826	0
837	0
847	6
857	0
868	0
878	7
888	0
