000	0
010	0
020	0
031	4
041	0
051	1
062	7
072	2
082	0
100	0
110	0
120	1
131	7
141	0
151	0
162	0
172	0
182	0
200	9
210	7
220	0
231	6
241	5
251	0
262	0
272	8
282	0
303	8
313	0
323	0
334	0
344	0
354	0
365	0
375	6
385	2
403	0
413	0
423	0
434	9
444	2
454	5
465	0
475	0
485	0
503	2
513	9
523	0
534	0
544	0
554	0
565	0
575	0
585	4
606	0
616	4
626	0
637	0
647	7
657	9
668	0
678	3
688	1
706	0
716	0
726	0
737	0
747	0
757	4
768	8
778	0
788	0
806	0
816	5
826	2
837	8
847	0
857	6
868	0
878	0
888	0
